,house_age,dist_nStation,num_cStores,dist_nStation,lat,long,house_p
0,32.0,84.87882,10,84.87882,24.98298,121.54024,3221.5
1,19.5,306.5947,9,306.5947,24.98034,121.53951,3587.0000000000005
2,13.3,561.9845,5,561.9845,24.98746,121.54391,4020.4999999999995
3,13.3,561.9845,5,561.9845,24.98746,121.54391,4658.0
4,5.0,390.5684,5,390.5684,24.97937,121.54245,3663.5
5,7.1,2175.03,3,2175.03,24.96305,121.51254,2728.5
6,34.5,623.4731,7,623.4731,24.97933,121.53642,3425.4999999999995
7,20.3,287.6025,6,287.6025,24.98042,121.54228,3969.5000000000005
8,31.7,5512.038,1,5512.038,24.95095,121.48458,1598.0
9,17.9,1783.18,3,1783.18,24.96731,121.51486,1878.5000000000002
10,34.8,405.2134,1,405.2134,24.97349,121.53372,3519.0
11,6.3,90.45606,9,90.45606,24.97433,121.5431,4938.5
12,13.0,492.2313,5,492.2313,24.96515,121.53737,3340.4999999999995
13,20.4,2469.645,4,2469.645,24.96108,121.51046,2023.0
14,13.2,1164.838,4,1164.838,24.99156,121.53406,2915.4999999999995
15,35.7,579.2083,2,579.2083,24.9824,121.54619,4292.5
16,0.0,292.9978,6,292.9978,24.97744,121.54458,5958.499999999999
17,17.7,350.8515,1,350.8515,24.97544,121.53119,3179.0
18,16.9,368.1363,8,368.1363,24.9675,121.54451,3595.4999999999995
19,1.5,23.38284,7,23.38284,24.96772,121.54102,4054.5000000000005
20,4.5,2275.877,3,2275.877,24.96314,121.51151,2490.5
21,10.5,279.1726,7,279.1726,24.97528,121.54541,4386.0
22,14.7,1360.139,1,1360.139,24.95204,121.54842,2091.0
23,10.1,279.1726,7,279.1726,24.97528,121.54541,4071.5
24,39.6,480.6977,4,480.6977,24.97353,121.53885,3297.9999999999995
25,29.3,1487.868,2,1487.868,24.97542,121.51726,2295.0
26,3.1,383.8624,5,383.8624,24.98085,121.54391,4777.0
27,10.4,276.449,5,276.449,24.95593,121.53913,2856.0
28,19.2,557.478,4,557.478,24.97419,121.53797,3995.0
29,7.1,451.2438,5,451.2438,24.97563,121.54694,4853.5
30,25.9,4519.69,0,4519.69,24.94826,121.49587,1878.5000000000002
31,29.6,769.4034,7,769.4034,24.98281,121.53408,2125.0
32,37.9,488.5727,1,488.5727,24.97349,121.53451,2907.0000000000005
33,16.5,323.655,6,323.655,24.97841,121.54281,4190.5
34,15.4,205.367,7,205.367,24.98419,121.54243,4683.5
35,13.9,4079.418,0,4079.418,25.01459,121.51816,2320.5
36,14.7,1935.009,2,1935.009,24.96386,121.51458,1946.4999999999998
37,12.0,1360.139,1,1360.139,24.95204,121.54842,2150.5
38,3.1,577.9615,6,577.9615,24.97201,121.54722,4054.5000000000005
39,16.2,289.3248,5,289.3248,24.98203,121.54348,3927.0000000000005
40,13.6,4082.015,0,4082.015,24.94155,121.50381,1351.5
41,16.8,4066.587,0,4066.587,24.94297,121.50342,1547.0
42,36.1,519.4617,5,519.4617,24.96305,121.53758,2949.5000000000005
43,34.4,512.7871,6,512.7871,24.98748,121.54301,2898.5
44,2.7,533.4762,4,533.4762,24.97445,121.54765,4581.5
45,36.6,488.8193,8,488.8193,24.97015,121.54494,3255.4999999999995
46,21.7,463.9623,9,463.9623,24.9703,121.54458,3570.0
47,35.9,640.7391,3,640.7391,24.97563,121.53715,5227.5
48,24.2,4605.749,0,4605.749,24.94684,121.49578,1139.0
49,29.4,4510.359,1,4510.359,24.94925,121.49542,1122.0
50,21.7,512.5487,4,512.5487,24.974,121.53842,3757.0000000000005
51,31.3,1758.406,1,1758.406,24.95402,121.55282,1759.5
52,32.1,1438.579,3,1438.579,24.97419,121.5175,2295.0
53,13.3,492.2313,5,492.2313,24.96515,121.53737,3306.5
54,16.1,289.3248,5,289.3248,24.98203,121.54348,4394.5
55,31.7,1160.632,0,1160.632,24.94968,121.53009,1164.5
56,33.6,371.2495,8,371.2495,24.97254,121.54059,3561.5
57,3.5,56.47425,7,56.47425,24.95744,121.53711,4547.5
58,30.3,4510.359,1,4510.359,24.94925,121.49542,1921.0000000000002
59,13.3,336.0532,5,336.0532,24.95776,121.53438,3604.0
60,11.0,1931.207,2,1931.207,24.96365,121.51471,1810.5
61,5.3,259.6607,6,259.6607,24.97585,121.54516,5372.0
62,17.2,2175.877,3,2175.877,24.96303,121.51254,2354.5
63,2.6,533.4762,4,533.4762,24.97445,121.54765,4675.0
64,17.5,995.7554,0,995.7554,24.96305,121.54915,2150.5
65,40.1,123.7429,8,123.7429,24.97635,121.54329,3765.4999999999995
66,1.0,193.5845,6,193.5845,24.96571,121.54089,4309.5
67,8.5,104.8101,5,104.8101,24.96674,121.54067,4828.0
68,30.4,464.223,6,464.223,24.97964,121.53805,3077.0000000000005
69,12.5,561.9845,5,561.9845,24.98746,121.54391,3570.0
70,6.6,90.45606,9,90.45606,24.97433,121.5431,5015.0
71,35.5,640.7391,3,640.7391,24.97563,121.53715,3467.9999999999995
72,32.5,424.5442,8,424.5442,24.97587,121.53913,3085.4999999999995
73,13.8,4082.015,0,4082.015,24.94155,121.50381,1700.0
74,6.8,379.5575,10,379.5575,24.98343,121.53762,4624.0
75,12.3,1360.139,1,1360.139,24.95204,121.54842,2507.5
