name,code,saqa_id,dep,aps,faculty,nqf,credits,desc,comments,school,url
Diploma in Accounting Sciences (98200),98200,83289,,17,,6,360,"Purpose statement:The purpose of this qualification is to enable qualifying students to: Assist with the management of a small business and display entrepreneurial skills.
Perform accounting and accounting reporting duties.
Perform management accounting duties.
Perform internal auditing procedures.
Render limited tax services, depending on the electives they have chosen. 
","
Rules:
This programme is endorsed by the Chartered Institute of Management Accounting (CIMA) for those
students who selected Management Accounting as a major.  Once successfully completed, candidates
pursuing the CIMA qualification will be exempted from CIMA's Certificate in Business Accounting
(four papers).  Such candidates could commence with CIMA's operational level, should they wish to
progress with their CIMA studies. In addition, CIMA will also issue them with their Certificate in
Business Accounting if they successfully complete any one of the four papers of their business
accounting certificate. Candidates should note that during the course of their studies they would be
required to have access to a computer with a webcam, and the internet
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Diploma-in-Accounting-Sciences-(98200)
Diploma in Administrative Management (98216),98216,85146,,17,,6,360,"Purpose statement:The purpose of this qualification is to equip the qualifying student with the basic skills of administrative management to function effectively in an administrative or financial environment. This qualification is intended for persons who can function as junior and middle level managers in any organisation. 
","
Rules:
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
 
Some of the pre-requisites and/ or co-requisites outlined in this qualification may not apply as
they do not form part of the curriculum
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Diploma-in-Administrative-Management-(98216)
Diploma in Agricultural Management (90097),90097,109028,,18,,6,360,Purpose statement:The purpose of this qualification is to train low level Managers and Technicians in the agricultural sector to meet the current critical shortage of skilled people in the sector. There is a need to develop skilled people in agriculture to ensure the relevance of the discipline in addressing agricultural sector development for food security and sustainable environment.,"
Rules:
Some of the pre-requisites and/or co-requisites outlined in this qualification may not apply as
they do not form part of the curriculum.
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Diploma-in-Agricultural-Management-(90097)
Diploma in Corrections Management (98218),98218,101101,,18,,6,360,"Purpose statement:This qualification is intended for persons who mainly function on the tactical level within the Correctional Services environment. The qualifying learner will be competent in applying selected integrated legal, administrative and managerial principles and techniques within the context of Correctional Services Management in supporting and implementing strategies, policies and procedures and will be able to deal effectively with contemporary issues on a tactical level.","
Rules:
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
 
Students must follow the same stream from level one throughout to level three.
 
Some of the pre-requisites and/ or co-requisites outlined in this qualification may not apply as
they do not form part of the curriculum.
 
Students who have passed phased out modules will retain the credit and do not need to pass the
replacement modules. However, phased out modules must have been passed for this specific
qualification and it does not necessarily mean the modules are equivalent.
 
EUP1501 Students do not need to register for CMY1501.
SCK1501 Students do not need to register for BSW1501.
SCK1502 Students do not need to register for BSW1502.
ENN103F Students do not need to register for ENG1503.
SCK2601 Students do not need to register for BSW2601.
SCK2604 Students do not need to register for BSW2602.
SCK3701 Students do not need to register for BSW3702.
SCK3702 Students do not need to register for BSW3703.
SCK3703 Students do not need to register for BSW3704.
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Diploma-in-Corrections-Management-(98218)
Diploma in Explosives Management (98222),98222,101120,,17,,6,360,"Purpose statement:A person acquiring this qualification will be able to apply explosives technologies, apply quality management and safety systems in a cost-effective explosives production environment. A person with this qualification is able to supervise people in manufacturing, apply principles of quality control and quality assurance, act as team leader and manage changes in the organisation.   This qualification will contribute to the full development of the learner within explosive material manufacturing fraternity by providing recognition, further mobility and transportability within the chemical and related manufacturing fields.  The skills, knowledge and understanding demonstrated within this qualification are essential for social and economic transformation and contribute to the progression and economic growth within the manufacturing fraternity.   This qualification will allow a person to advance to learning such as B Tech: Explosives Management, NQF 7 or related qualifications.","
Rules:
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Diploma-in-Explosives-Management-(98222)
Diploma in Human Resource Management (98211),98211,86348,,17,,6,360,"Purpose statement:The purpose of this qualification is to provide learners with the opportunity to acquire the applied competencies in the field of Human Resource Management that are required for registration with the South African Board for People Practitioners (SABPP) as a Human Resource/Employee Resource (HR/ER) Associate. The learners will be empowered to co-ordinate and contribute to the management of the core Human Resource Management functions in line with best practices and quality standards. This qualification lays a foundation for higher career advancement and further studies in the field of Human Resource Management. 

This qualification is aimed at learners who work within business environments, and seek recognition for essential people management skills and competence in operational Human Resource practice. It has been developed: 
- To promote efficiency in implementing legislative requirements and organisational policies and procedures in Human Resource functions. 
- Co-ordinate and contribute to the management of the core processes related to human resources management and practices. 
- Co-ordinate some of the human resources management processes and practices at operational level. 
- Promote best human resource management practices in an organisation to contribute to the monitoring of Health and Safety at the workplace and the implementation of wellness interventions. 
- Identify strengths and areas for improvement in own learning through self-reflection and reflection on organisational human resource management and practices. 

Qualified learners will be competent to perform all the functions of human resource management. 

","
Rules:
The College has replaced FAC1601 with SUS1501. Students who have already passed FAC1601 in this
 curriculum, will not be required to complete SUS1501. Students should note that during the course
 of their studies they would be required to have access to a computer, printer and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Diploma-in-Human-Resource-Management-(98211)
Diploma in Local Government Finance (90083),90083,99281,,17,,6,360,"Purpose statement:The primary purpose of the qualification is for learners to demonstrate vocational knowledge and skills and to acquire applied competencies and the necessary attitudes in the field of Local Government Finance to become lifelong learners, employable workers and contributors to financial management in various institutions. A second purpose of the qualification is for those holding this Diploma in Local Government Finance to widen the vocational leadership and management base of innovative and practice-based local government financial management. A third purpose of the qualification is to enable diplomats in local government finance to become members of the Institute of Municipal Finance Officers (IMFO). 

This qualification lays the foundation for career advancement and further studies in the field of Local Government Finance. Upon completion of the Diploma in Local Government Finance, the learner would have been actively engaged in becoming a well-rounded, educated person, specifically prepared for further and more specific study and also for the work environment as an employer/manager in the financial section of a government entity. 

The qualification aims to develop financial management skills through strengthening their understanding of local government legislation and developing their financial reporting skills. The theoretical foundation will guide learners in the work environment to act at a functional level as Financial Managers. 
","
Rules:
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Diploma-in-Local-Government-Finance-(90083)
Diploma in Marketing Management (98202),98202,83287,,17,,6,360,"Purpose statement:The purpose of the qualification is closely tied to the rationale for the programme and it serves to instil and broaden students' marketing knowledge, application of marketing knowledge and expertise. The qualification provides qualifying students with a broad based knowledge of the principles, major theories and thought schools, methods and technology of the science and profession of the field and equips them to co-ordinate and contribute to the management of the core marketing management functions in line with best practice and quality standards. This qualification lays a foundation for higher career advancement and further studies in the field of marketing management. 

The modules are specifically selected to ensure that students gain a basic understanding of the underlying marketing issues and principles in their first year; slightly more advanced knowledge combined with elementary practical application in the second year; and conclude with practical application of marketing theory in the third year where an applications approach is integrated in the curriculum. The third year modules are designed to equip students with the relevant skills and abilities. 
","
Rules:
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Diploma-in-Marketing-Management-(98202)
Diploma in Nature Conservation (98024 - NCO),98024,90512,,18,,6,360,"Purpose statement:The purpose of this qualification is to develop competent conservation officers who can provide support to conservators and resource managers or actively participate in management functions in natural resource management areas. Qualifying learners will be able to apply acquired technical and scientific knowledge, skills and attitudes, to interpret observations made and information and data gathered, regarding natural resources. This qualification aims to enhance professional competence in the field of nature conservation on local, regional and national levels by providing the conservation industry with persons who are able to participate in ecosystems' management, environmental education and ecotourism. This, in turn, will contribute to sustainable and responsible utilisation of natural resources in Africa, thus contributing to economic development. It further aims to advance social and economic transformation by providing accessible opportunities for individual, career and entrepreneurial development for people from all social and cultural groups. 

","
Rules:
This qualification has compulsory contact modules that carry additional fees.
The qualification also requires time to be spent in the industry to meet the requirements reflected
in the six NCA-modules.
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Diploma-in-Nature-Conservation-(98024-–-NCO)
Diploma in Operations Management (90183),90183,119068,,17,,6,360,"Purpose statement:The purpose of the Diploma in Operations Management is to allow qualifying learners to enter a formal entry-level qualification within the field of operations management. In this qualification, learners will explore strategies on how to manage aspects related to operations and supply chain in the manufacturing and services industries. Learners would be able to develop skills and competencies on how to ensure an organisation becomes more productive, efficient, and effective across the value chain as an Operations Manager.
The field of operations management is changing continually as economies change, and the qualifying graduate in this qualification will be able to advise middle to senior managers on issues relating to Capacity Planning, Forecasting, Quality, Process Analysis and Project Management. This is important to ensure the qualifying learners will be able to apply the theoretical constructs of operations management in real-life work situations through simulations and case studies. The labour-intensive nature of some industries and the various skills levels in Operations Management will provide employment opportunities for many South Africans with varying degrees of skills development. Learners will also be equipped with the necessary entrepreneurial skills to establish their own businesses.
","
Rules:
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Diploma-in-Operations-Management-(90183)
