name,code,saqa_id,dep,aps,faculty,nqf,credits,desc,comments,school,url
Higher Certificate in Banking (98225),98225,84286,,15,Economic and Management Sciences,5,120,"Purpose statement:The primary purpose of the qualification, closely tied to the rationale, is to introduce learners to the field of banking. Qualifying learners will have a fundamental understanding of bank management theory and principles. This qualification is designed to enable learners to join the financial services sector at the entry level. 
","
Rules:
Students who have already passed BAN1503 in this qualification will retain the credit and will not
be required to complete SUS1501. Students should note that during the course of their studies they
would be required to have access to a computer, printer and the internet.
 
Some of the pre-requisites and/ or co-requisites outlined in this qualification may not apply as
they do not form part of the curriculum. Students do not need to register BNU1501 as a co-requisite
for QMI1500 in this qualification.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Higher-Certificate-in-Banking-(98225)
Higher Certificate in Economic and Management Sciences (98237),98237,90677,,15,Economic and Management Sciences,5,120,"Purpose statement:The purpose of this qualification is to prepare learners who do not comply with the minimum statutory or institutional admission requirements, for access to Diploma and Degree studies in the Economic and Management Sciences. 

This qualification will introduce learners to elementary concepts and principles of Economics, Business Management and Accountancy. The qualification should also improve learners' basic proficiency in English, their general computer skills and their basic numeracy skills which are required for studies in the Economic and Management Sciences. 
","
Rules:Students should note that during the course of their studies they would be required to have access to a computer, a printer and the internet. It is recommended that students choose their modules as follows: Year modules: ECS1500; INF1505; Semester 1: BNU1501; BSM1501; ENG1503; FAC1501; Semester 2: CLA1501; QMI1500; FAC1502; SUS1501. The College has replaced ENG1512 with CLA1501, replaced EUP1501 with INF1505, replaced INM1501 with FAC1502, and ENN103F with ENG1503. Students who have already passed ENG1512, EUP1501, ENN103F and/or INM1501 in this qualification, will retain the credit(s) and will not be required to complete the relevant replacement module(s).",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Higher-Certificate-in-Economic-and-Management-Sciences-(98237)
Higher Certificate in Marketing (98229),98229,84766,,15,Economic and Management Sciences,5,120,"Purpose statement:The primary purpose of this qualification is closely tied to the rationale for the qualification and serves to provide learners with a basic knowledge of the field of marketing as well as practical application of these principles based on a case study approach. 

This qualification provides qualifying learners with basic knowledge of the principles, theories, methods and techniques of the art and science of marketing. In addition it equips them to be able to apply these to be competitive in a South African employment context. 

The knowledge will be transferred in a practical way as far as possible. 
","
Rules:
The College has replaced EUP1501 with SUS1501 and replaced MNM1521 with BNU1501.
Students who have already passed EUP1501 and/or MNM1521 in this qualification, will retain
the credit(-s) and will not be required to complete the relevant replacement module (s). Students
should note that during the course of their studies they would be required to have access to a
computer, printer and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Higher-Certificate-in-Marketing-(98229)
Higher Certificate in Retailing (90014),90014,94791,,15,Economic and Management Sciences,5,120,"Purpose statement:The purpose of the qualification is to equip learners with knowledge and skills to enter into a retailing environment and to be able to contribute immediately to store management. Successful learners will have a basic knowledge and understanding of all crucial aspects of managing a retail store including sales skills, merchandise buying and the management of human resources. 
","
Rules:
Students who have already passed MNM1523 in this qualification, will retain the credit and will not
be required to complete BNU1501. Students should note that during the course of their studies they
would be required to have access to a computer, printer and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Higher-Certificate-in-Retailing-(90014)
Higher Certificate in Supervisory Management (90015),90015,94630,,15,Economic and Management Sciences,5,120,"Purpose statement:The purpose of this qualification is to prepare learners to operate and perform at an operational level in an organisation. This will include competencies and activities like planning, organising, leading and monitoring operations within a pre-set business plan. 

Upon completion of the qualification the learner will be able to apply fundamental business management principles, methodologies and techniques in order to identify and solve problems pertaining to the operational management activities in the organisations. They will also be able to provide leadership in the field of specialisation or request assistance in an appropriate manner as a team member for making the necessary preparations for establishing proper procedure for implementing operational management activities. Furthermore, the learner will be able to present and communicate information and opinions related to the field of operational management activities in the appropriate notation, using well-structured arguments, showing awareness of audience and using professional discourse appropriately. 
","
Rules:
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Higher-Certificate-in-Supervisory-Management-(90015)
Higher Certificate in Tourism Management (98226),98226,101434,,15,Economic and Management Sciences,5,120,"Purpose statement:The primary purpose of the qualification which is closely tied to the rationale is to introduce learners to the tourism field. This qualification is designed to enable students to join the tourism industry sector at the entry level. This qualification will enable qualifying learners to: Have a fundamental understanding of tourism management theory and principles.
Perform basic duties under supervision in the field of tourism management, for instance, general front office duties, do travel bookings, and provide customer care in this context.
Understand how travel and tourism organisations gain competitive advantage to achieve their aims. Know the principles and benefits of good customer service in travel and tourism organisations. Be able to demonstrate the skills, qualities and behaviours needed for effective performance in the tourism workplace.

","
Rules:
Candidates are advised to register for the following modules in the first semester: ENN1504,
EUP1501, FAC1501, MNG1502 & IOP1502. Students who have already passed DTM1502 in this
qualification, will retain the credit and will not be required to complete SUS1501. Students should
note that during the course of their studies they would be required to have access to a computer,
printer and the internet.
 
Some of the pre-requisites and/ or co-requisites outlined in this qualification may not apply as
they do not form part of the curriculum.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Higher-Certificate-in-Tourism-Management-(98226)
Diploma in Administrative Management (98216),98216,85146,,17,Economic and Management Sciences,6,360,"Purpose statement:The purpose of this qualification is to equip the qualifying student with the basic skills of administrative management to function effectively in an administrative or financial environment. This qualification is intended for persons who can function as junior and middle level managers in any organisation. 
","
Rules:
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
 
Some of the pre-requisites and/ or co-requisites outlined in this qualification may not apply as
they do not form part of the curriculum
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Diploma-in-Administrative-Management-(98216)
Diploma in Explosives Management (98222),98222,101120,,17,Economic and Management Sciences,6,360,"Purpose statement:A person acquiring this qualification will be able to apply explosives technologies, apply quality management and safety systems in a cost-effective explosives production environment. A person with this qualification is able to supervise people in manufacturing, apply principles of quality control and quality assurance, act as team leader and manage changes in the organisation.   This qualification will contribute to the full development of the learner within explosive material manufacturing fraternity by providing recognition, further mobility and transportability within the chemical and related manufacturing fields.  The skills, knowledge and understanding demonstrated within this qualification are essential for social and economic transformation and contribute to the progression and economic growth within the manufacturing fraternity.   This qualification will allow a person to advance to learning such as B Tech: Explosives Management, NQF 7 or related qualifications.","
Rules:
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Diploma-in-Explosives-Management-(98222)
Diploma in Human Resource Management (98211),98211,86348,,17,Economic and Management Sciences,6,360,"Purpose statement:The purpose of this qualification is to provide learners with the opportunity to acquire the applied competencies in the field of Human Resource Management that are required for registration with the South African Board for People Practitioners (SABPP) as a Human Resource/Employee Resource (HR/ER) Associate. The learners will be empowered to co-ordinate and contribute to the management of the core Human Resource Management functions in line with best practices and quality standards. This qualification lays a foundation for higher career advancement and further studies in the field of Human Resource Management. 

This qualification is aimed at learners who work within business environments, and seek recognition for essential people management skills and competence in operational Human Resource practice. It has been developed: 
- To promote efficiency in implementing legislative requirements and organisational policies and procedures in Human Resource functions. 
- Co-ordinate and contribute to the management of the core processes related to human resources management and practices. 
- Co-ordinate some of the human resources management processes and practices at operational level. 
- Promote best human resource management practices in an organisation to contribute to the monitoring of Health and Safety at the workplace and the implementation of wellness interventions. 
- Identify strengths and areas for improvement in own learning through self-reflection and reflection on organisational human resource management and practices. 

Qualified learners will be competent to perform all the functions of human resource management. 

","
Rules:
The College has replaced FAC1601 with SUS1501. Students who have already passed FAC1601 in this
 curriculum, will not be required to complete SUS1501. Students should note that during the course
 of their studies they would be required to have access to a computer, printer and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Diploma-in-Human-Resource-Management-(98211)
Diploma in Local Government Finance (90083),90083,99281,,17,Economic and Management Sciences,6,360,"Purpose statement:The primary purpose of the qualification is for learners to demonstrate vocational knowledge and skills and to acquire applied competencies and the necessary attitudes in the field of Local Government Finance to become lifelong learners, employable workers and contributors to financial management in various institutions. A second purpose of the qualification is for those holding this Diploma in Local Government Finance to widen the vocational leadership and management base of innovative and practice-based local government financial management. A third purpose of the qualification is to enable diplomats in local government finance to become members of the Institute of Municipal Finance Officers (IMFO). 

This qualification lays the foundation for career advancement and further studies in the field of Local Government Finance. Upon completion of the Diploma in Local Government Finance, the learner would have been actively engaged in becoming a well-rounded, educated person, specifically prepared for further and more specific study and also for the work environment as an employer/manager in the financial section of a government entity. 

The qualification aims to develop financial management skills through strengthening their understanding of local government legislation and developing their financial reporting skills. The theoretical foundation will guide learners in the work environment to act at a functional level as Financial Managers. 
","
Rules:
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Diploma-in-Local-Government-Finance-(90083)
